tweet, polarity, negative, neutral, positive, compound
cc said demonetisation request please add cash payment mode cash legal payment tender cannot refused,positive,0.0,0.678,0.322,0.5702
even biggest mistry katappa killed bahubali solved rbi yet uncover mystery reason amp impact demonetisation,negative,0.23,0.663,0.107,-0.5267
yes engaged quid pro quo bank looting money use demonetisation,positive,0.0,0.597,0.403,0.6597
death worker informal sec suffered objective demonetisation never met appalled insensitivity adb,negative,0.357,0.402,0.242,-0.5086
win bjp mcd proved people given grand support modi sarkar demonetisation move delhivotedbjp,positive,0.0,0.513,0.487,0.8591
globalgoals history st book kind time chosen demonetisation india ok,positive,0.0,0.588,0.412,0.6808
even biggest mistry katappa killed bahubali solved rbi yet uncover mystery reason amp impact demonetisation,negative,0.23,0.663,0.107,-0.5267
finance guru mmsigha amp shd reason rupee emerging strong demonetisation,positive,0.0,0.732,0.268,0.5106
wd pm brand ambassador khadi sale fm kvic jump even cash crunch due demonetisation,positive,0.0,0.778,0.222,0.5719
paraded mule demonetisation disaster,negative,0.577,0.423,0.0,-0.6249
amused report demonetisation effect labour capital market connecting economic growth,positive,0.0,0.597,0.403,0.6597
extremely bad demonetisation,negative,0.655,0.345,0.0,-0.5849
twitter asking missing wen jawan r dying case agnst vadra job failed kashmir policy failed demonetisation acchedin,negative,0.404,0.596,0.0,-0.8316
cud b right know officer asking money post demonetisation ass cash r asked give gold,negative,0.226,0.774,0.0,-0.5423
job grew despite clueless economist doomsday prophecy demonetisation,positive,0.0,0.537,0.463,0.6348
last year gobarnance u turn flop demonetisation job nation tired drama bazi feku,negative,0.346,0.654,0.0,-0.6486
sir word use start de always read demonetisation ha ha ha determination,positive,0.0,0.447,0.553,0.836
sir thanks home loan interest rate effect demonetisation pmoindia,positive,0.0,0.543,0.457,0.7096
see video exposing bjp armed soldier beaten stoner pelter bjp linked failed demonetisation solve,negative,0.41,0.5,0.09,-0.7506
rbi accepted govt demonetisation proposal fake note menace hindustan time,negative,0.409,0.455,0.136,-0.6369
rothschild washington named behind brutal demonetisation,negative,0.451,0.549,0.0,-0.6249
demonetisation failed make negative impact thane realty rental market realestate_news india,negative,0.438,0.562,0.0,-0.7906
request use intellect better issue visit village see real effect cow slaughter ban like demonetisation effect thanks,positive,0.134,0.446,0.42,0.7717
rbi accepted govt demonetisation proposal fake note menace hindustan time,negative,0.409,0.455,0.136,-0.6369
worry got enlightened benefit demonetisation post punjab goa amp post mcd cheek r red,positive,0.152,0.524,0.325,0.5106
patriotism profitable business p cash found new currency post demonetisation one fresh corruption modi,positive,0.0,0.679,0.321,0.6369
bro current govt need take step like demonetisation break back followed development naxals affected area trust govt,positive,0.075,0.654,0.271,0.6369
part coming next election season hope time modi explain profit demonetisation know answer,positive,0.0,0.655,0.345,0.7003
demonetisation business stop frustration found garbage jnu decreased,negative,0.469,0.531,0.0,-0.6486
world know feku gave worst public policy history flop demonetisation u turn feku modi historical milestone gobarnance,negative,0.317,0.683,0.0,-0.7579
sanghis failed learn past year feku failed salvage jadhav feku failed get dawood yfeku gave flop demonetisation,negative,0.486,0.514,0.0,-0.9062
sarcasm nobody died queue buying ticket bahubali next suicide fb demonetisation india,negative,0.526,0.474,0.0,-0.875
gold price surged wonder shit englishba demonetisation,negative,0.375,0.625,0.0,-0.5574
watching news whole chaotic move stop terrorrism counterfeit money tax evasion englishba demonetisation,negative,0.329,0.671,0.0,-0.6597
good morning money true rupee note value demonetisation englishba,positive,0.0,0.426,0.574,0.7964
maybe make paper plane fly along hope partying weekend demonetisation englishba,positive,0.0,0.621,0.379,0.6705
indian retail market slow due demonetisation effect bad last month surfing bussiness pepole india,negative,0.212,0.788,0.0,-0.5423
sir cancelled attached ticket demonetisation refund till improve efficiency ir,positive,0.139,0.486,0.375,0.5267
ji plz act neither destroy demonetisation jihadi didi definitely supporting people,positive,0.0,0.418,0.582,0.8294
demonetisation bad yaar,negative,0.636,0.364,0.0,-0.5423
demonetisation reduced fake say note printed isi r ok fake,negative,0.431,0.417,0.153,-0.6124
surgical strike demonetisation really stopped terror attack kudos bjp kiddos,negative,0.564,0.263,0.173,-0.7532
yes rahul team sc saying people riot amp kill demonetisation word muzaffarnagar sikh riot eye opener,negative,0.447,0.451,0.102,-0.8807
miserably failed demonetisation shattered hope poor indian stood que betterment many people lost life,negative,0.578,0.31,0.112,-0.9001
slogan demonetisation tall talk black money vip talk keep indian happy high happy addictive narcotic,positive,0.0,0.529,0.471,0.8934
heard fake currency stop coming one biggest advantage demonetisation bjp,negative,0.371,0.49,0.14,-0.5106
hey goi want enjoy carefree ride demonetisation aadhar evms make sure commissioner spot,positive,0.0,0.486,0.514,0.8176
demonetisation killed fake currency industry ala modi pm,negative,0.559,0.441,0.0,-0.8225
watch jan gan man ki baat india looming joblessness disaster demonetisation via,negative,0.359,0.641,0.0,-0.6808
globalgoals history st book kind time chosen demonetisation india ok,positive,0.0,0.588,0.412,0.6808
ppl standng long q one sick dy durng demonetisation inspite better weathr condition many dead facd problem kejri congrss,negative,0.379,0.515,0.107,-0.8126
demonetisation supposed b gr idea demonetisation successful objective,positive,0.0,0.612,0.388,0.5859
thought demonetisation ended fake currency problem,negative,0.592,0.408,0.0,-0.7003
note ban disruptive policy innovation since demonetisation noteban modi bjp rbi demonetisationdisaster,negative,0.337,0.514,0.149,-0.5106
hope bahubali clear mystery india benefited demonetisation,positive,0.0,0.476,0.524,0.6705
demonetisation failed make negative impact thane realty rental market,negative,0.5,0.5,0.0,-0.7906
think modi shah r planned disintegrate india bit bit render helpless broken amp therefore easier control demonetisation,negative,0.279,0.594,0.128,-0.5106
recent libsec discourse ppl dying demonetisation q sp winning aap winning pb placard holding vet daughter troll baahubali,positive,0.0,0.688,0.312,0.7783
govt claimed demonetisation would end insurgency rising maoist violence prof otherwise,negative,0.291,0.709,0.0,-0.6249
fascist feku india prime madman pm delivers achhedin new currency demonetisation,negative,0.265,0.735,0.0,-0.5574
predicted demonetisation month event also projected current nifty rally amp expects nifty,positive,0.0,0.649,0.351,0.6597
stock r amp note kept ready note ban urjit patel motherofalljumla defeat even mannkibaat,negative,0.346,0.524,0.131,-0.6249
day demonetisation timetoswipe every breakfast lunch dinner post hope nation winner,positive,0.0,0.573,0.427,0.7717
search liberates saying demonetisation poor people harassed robbed economy duped cr dy,negative,0.511,0.489,0.0,-0.8555
sbi role sad see demonetisation still haunting citizen pmo still blinded,negative,0.366,0.634,0.0,-0.6369
read article hindu abt rejecting rti enquery regarding demonetisation citing threat life national security,negative,0.323,0.556,0.121,-0.6124
bloody cruel joke demonetisation,negative,0.677,0.101,0.222,-0.6705
demonetisation terrorist amp naxals hv money amp pm money camera armored truck gun pm lost,negative,0.439,0.561,0.0,-0.8555
well also said demonetisation finished corruption amp terrorism incidentally finished counting banned currency,negative,0.386,0.508,0.107,-0.7579
really bad way nt able eliminate corruption demonetisation failed indiafailed,negative,0.47,0.53,0.0,-0.796
stonepelting terror_naxal_attacks fakecurrency blackmoney functioning normal demonetisation success mannkibaat,positive,0.0,0.684,0.316,0.5719
new name give greatest policy bjp demonetisation,positive,0.0,0.588,0.412,0.6369
rbi accepted govt demonetisation proposal fake note menace hindustan time,negative,0.409,0.455,0.136,-0.6369
time demonetisation bank joined struggle suffering citizen india,negative,0.474,0.526,0.0,-0.6597
u said terrorism come end demonetisation doesnt look like kashmir still fighting,negative,0.535,0.465,0.0,-0.8485
magvfir demonetisation courageous experiment pm modi amar singh,positive,0.0,0.673,0.327,0.5267
informal sector provides job majority population country dont defend demonetisation comp stupid,negative,0.236,0.764,0.0,-0.5267
informal sector provides job majority population country dont defend demonetisation comp stupid,negative,0.236,0.764,0.0,-0.5267
aap loosing popularity amp support anti modi stance amp supporting demonetisation muslim appeasement,positive,0.115,0.45,0.435,0.7506
lie changed method gdp also informal sector hit stupid demonetisation,negative,0.274,0.726,0.0,-0.5267
demonetisation steal money poor give rich friend even gullible voter fooled bitter truth abt opp,negative,0.469,0.231,0.3,-0.6249
demonetisation failed make negative impact thane realty rental market,negative,0.5,0.5,0.0,-0.7906
economist history st book kind site cannot party china demonetise like modi,positive,0.132,0.525,0.344,0.5635
demonetisation internet shutdown tremendous successful one want live hindu rashtra modi eroded secularism,positive,0.0,0.683,0.317,0.6249
let talk demonetisation failed prove purpose,negative,0.398,0.602,0.0,-0.5106
time demonetisation rahul gandhi bank joined struggle suffering citizen india,negative,0.403,0.597,0.0,-0.6597
one main reason demonetisation curb terrorism failed purpose sukamahamla example,negative,0.497,0.503,0.0,-0.836
liked video demonetisation ka asar stand comedy nishant tanwar,positive,0.0,0.569,0.431,0.6486
stopped demonetisation amp reality jawan r still getting murdered terrorist naxalites demonetisation w disaster period,negative,0.627,0.373,0.0,-0.9442
great see niraradia group member virsangvi ganging post demonetisation virtuosity,positive,0.0,0.526,0.474,0.802
false equivalence make agree demonetisation good nothing disaster people losing life,positive,0.0,0.392,0.608,0.8714
guy demonetisation figure yet happy tweet stuff co know tax money go buredin,positive,0.0,0.764,0.236,0.5719
demonetisation every indian discussed kattappa killed bahubali else required,negative,0.36,0.64,0.0,-0.6705
please explain modi popularity increased delhi bihar loses demonetisation,positive,0.155,0.338,0.507,0.6369
mistake ask proof surgical strike amp going demonetisation crime india amp indian,negative,0.451,0.549,0.0,-0.7506
considering heightened terrorist anti national activity think time demonatisation demonetisation,negative,0.467,0.533,0.0,-0.7906
bogus claim u catch black money demonetisation u r implicating honest ppl tweet,positive,0.0,0.732,0.268,0.5106
great,positive,0.0,0.0,1.0,0.6249
noteban led rise domestic violence say madhya pradesh crisis centre feb demonitisation,negative,0.451,0.549,0.0,-0.8481
doctored finding bjp demonetisation expected curb black money betrayal,negative,0.322,0.678,0.0,-0.5859
rbi accepted govt demonetisation proposal fake note menace hindustan time,negative,0.409,0.455,0.136,-0.6369
yes employee foreign bank crabby much attitude demonetisation indian bank efficient,positive,0.0,0.621,0.379,0.6705
modi demonetisation proved success critic must apologise,positive,0.169,0.323,0.508,0.6369
people queueing outside hall bahubali hope see kind excitement vigour outside atm demonetisation,positive,0.0,0.441,0.559,0.886
bold move like demonetisation deserved another ie tax farm income certain threshold niti ayog shying away thought,positive,0.086,0.588,0.326,0.6486
bjp bn shouting roof top scam people waiting see result outcome post demonetisation yet c big fish arrested,negative,0.301,0.619,0.08,-0.7184
sir medium boycotting aap since november taking anti demonetisation stand order bjp,negative,0.333,0.667,0.0,-0.6124
kumar interview arvind need critique demonetisation kumar understands economics death enough comment,negative,0.262,0.738,0.0,-0.5994
biggest bull shit critiqued demonetisation read tweet know big disaster,negative,0.49,0.51,0.0,-0.8271
said sorry bt apology lakhblack mony ache din vadra malya inaction demonetisation mess kashmir burning आम_आदम _प र ट _एक_स च,negative,0.372,0.575,0.053,-0.7351
say might govt would grant license gate praise demonetisation,positive,0.0,0.534,0.466,0.7269
demonetisation talent creativity brought revolution country cant sleephangover bahubali,positive,0.0,0.565,0.435,0.6597
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
globalgoals history st book kind time chosen demonetisation india ok,positive,0.0,0.588,0.412,0.6808
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
congratulation countryman passage gstbill new year new law new india pm onenationonetax,positive,0.0,0.738,0.262,0.5994
really please defend demonetisation outcome case unless desired outcome winning election in,positive,0.0,0.527,0.473,0.796
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
really please defend demonetisation outcome case unless desired outcome winning election,positive,0.0,0.497,0.503,0.796
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
ah policy failure first admitted one many waiting guess mother failure,negative,0.412,0.5,0.087,-0.7351
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
know yet great demonetisation,positive,0.0,0.423,0.577,0.6249
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
good service tax gst reform act courage say imf chief via nmapp gstbill,positive,0.0,0.643,0.357,0.7269
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
one many problem faced blind think financial exclusion happens du,negative,0.521,0.479,0.0,-0.765
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree,negative,0.286,0.714,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree c,negative,0.286,0.714,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree,negative,0.286,0.714,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree ca,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree,negative,0.286,0.714,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree,negative,0.286,0.714,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
hello abt people r dying wine degree died da,negative,0.34,0.66,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
even degree heat ppl dying however demonetisation ppl died degree u te,negative,0.265,0.735,0.0,-0.5574
